N4342,23,4.60E+08,3.10E+08,7.20E+08,star,225,214,236,0,0,1.80E+10,0.35,S0,P
N4374,18.5,9.20E+08,8.40E+08,1.02E+09,gas,296,282,310,10.98,0.02,3.62E+11,0.51,E,C
N4388,19.8,8.80E+06,8.60E+06,9.00E+06,maser,107.2,100,114.8,0,0,0,0.03,S,N/A
N4459,16,7.00E+07,5.60E+07,8.30E+07,gas,167,159,175,10.31,0.02,0,0.14,E,P
N4472,16.7,2.50E+09,2.40E+09,3.10E+09,star,300,285,315,11.05,0.05,8.98E+11,1.3,E,C
N4473,15.2,8.90E+07,4.50E+07,1.34E+08,star,190,181,199,10.29,0.02,1.61E+11,0.15,E,C
N4486,16.7,6.20E+09,5.80E+09,6.50E+09,star,324,308,352,11.08,0.02,1.31E+12,3.1,E,C
N4486A,18.4,1.40E+07,8.90E+06,1.90E+07,star,111,106,116,9.48,0.02,0,0.06,E,P
N4564,15.9,8.80E+07,6.40E+07,1.12E+08,star,162,154,170,0,0,4.66E+10,0.19,S0,P
N4594,10,6.70E+08,6.30E+08,7.20E+08,star,230,218,242,0,0,0,1.1,S,N/A
N4596,18,8.40E+07,5.90E+07,1.20E+08,gas,136,130,142,0,0,0,0.22,S0,P
N4649,16.5,4.70E+09,3.70E+09,5.80E+09,star,341,324,358,10.99,0.02,7.72E+11,2.2,E,C
N4697,12.5,2.00E+08,1.80E+08,2.20E+08,star,177,169,185,10.46,0.04,1.29E+11,0.46,E,P
N4736,5,6.80E+06,5.20E+06,8.40E+06,star,112,106,118,0,0,0,0.1,S,N/A
N4826,7.3,1.60E+06,1.20E+06,2.00E+06,star,96,91,101,0,0,0,0.02,S,N/A
N4889   103.2   2.1e10  5.5e9   3.7e10  star    347     330     364,11.48,0.05,1.75E+12,1.5,E,C,,,,,,,,
N5077,44.9,8.00E+08,4.70E+08,1.30E+09,gas,222,211,233,10.75,0.05,3.66E+11,0.32,E,C
N5128,4.1,5.90E+07,4.90E+07,7.00E+07,star,150,143,157,10.6,0.03,0,0.6,S0/E,C
N5516,60.1,4.00E+09,2.90E+09,4.10E+09,star,306,280,332,11.22,0.05,0,0.63,E,C
N5576,25.7,1.70E+08,1.30E+08,2.00E+08,star,183,174,192,10.39,0.05,9.58E+10,0.18,E,C
N5845,25.9,4.90E+08,3.30E+08,6.40E+08,star,234,223,245,9.75,0.05,3.36E+10,0.31,E,P
N6086,139.1,3.80E+09,2.60E+09,5.50E+09,star,318,302,334,11.23,0.05,1.43E+12,0.24,E,C
N6251,106,6.00E+08,4.00E+08,8.00E+08,gas,290,276,304,0,0,5.60E+11,0.06,E,P
N6264,145.4,3.03E+07,2.99E+07,3.08E+07,maser,158.5,144.5,173.8,0,0,0,0.01,S,N/A
N6323,110.5,9.80E+06,9.70E+06,9.90E+06,maser,158.5,134.9,186.2,0,0,0,0.003,S,N/A
N7052,70.9,4.00E+08,2.40E+08,6.80E+08,gas,266,253,279,10.92,0.04,3.50E+11,0.07,E,C
N7582,22.3,5.50E+07,4.40E+07,7.10E+07,gas,156,137,175,0,0,0,0.09,S,N/A
N7619,53.9,2.30E+09,2.20E+09,3.50E+09,star,313,297,329,11.07,0.05,0,0.39,E,C
N7768,112.8,1.30E+09,9.00E+08,1.80E+09,star,257,244,270,11.09,0.05,1.16E+12,0.14,E,C
U3789,48.4,1.08E+07,1.03E+07,1.14E+07,maser,107.2,95.5,120.2,0,0,0,0.02,S,N/A
